1, Admin,0
8332, Supervisor,0
7430, Supervisor,0
7437, Supervisor,0
9953, Supervisor,0
3232, Supervisor,0
5892, Supervisor,0
2813, Supervisor,0
4840, Supervisor,0
885, Supervisor,0
9928, Supervisor,0
1125, Supervisor,0
5359, Supervisor,0
2392, Supervisor,0
4421, Supervisor,0
6653, Supervisor,0
2349, Supervisor,0
3342, Supervisor,0
4618, Supervisor,0
1743, Supervisor,0
8143, Agent,1
5737, Agent,2
7399, Agent,3
6916, Agent,4
1589, Agent,5
5397, Agent,6
4389, Agent,7
8377, Agent,8
6179, Agent,9
3430, Agent,10
9748, Agent,11
1503, Agent,12
9332, Agent,12
1591, Agent,14
2062, Agent,15
5393, Agent,16
3535, Agent,17
19284, Agent,18
1796, Agent,19
29284, Agent,1
8901, Agent,1
6537, Agent,2
1517, Agent,2
3610, Agent,3
6123, Agent,3
801, Agent,4
6, Agent,4
5649, Agent,5
9723, Agent,5
4119, Agent,6
6678, Agent,6
5179, Agent,7
5334, Agent,7
9621, Agent,8
5993, Agent,8
9575, Agent,9
4632, Agent,9
9238, Agent,10
1762, Agent,10
356, Agent,11
1119, Agent,11
7028, Agent,12
4236, Agent,12
7086, Agent,12
8522, Agent,12
4686, Agent,14
9443, Agent,14
1573, Agent,15
4671, Agent,15
5168, Agent,16
9217, Agent,16
959, Agent,17
6622, Agent,17
2257, Agent,18
3213, Agent,18
4302, Agent,19
1930, Agent,19
6361, Agent,1
3567, Agent,1
1863, Agent,2
944, Agent,2
1555, Agent,3
6369, Agent,3
9470, Agent,4
7196, Agent,4
1763, Agent,5
8338, Agent,5
9579, Agent,6
5959, Agent,6
3849, Agent,7
7700, Agent,7
4739, Agent,8
6235, Agent,8
8363, Agent,9
4103, Agent,9
5837, Agent,10
2034, Agent,10
3480, Agent,11
48, Agent,11
2615, Agent,12
5852, Agent,12
1874, Agent,12
183, Agent,12
3421, Agent,14
3488, Agent,14
7050, Agent,15
9441, Agent,15
3948, Agent,16
1038, Agent,16
8518, Agent,17
8068, Agent,17
2317, Agent,18
6166, Agent,18
3823, Agent,19
6366, Agent,19
